# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_2
ScaledBy=1.0
Title=quark-as013650-as012285-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.089521e+00	4.001667e-02	4.001667e-02
1.000000e-02	2.000000e-02	5.231116e-02	9.214977e-03	9.214977e-03
2.000000e-02	3.000000e-02	5.334566e-03	2.951377e-03	2.951377e-03
3.000000e-02	4.000000e-02	1.283805e-04	4.579887e-04	4.579887e-04
4.000000e-02	5.000000e-02	1.253112e-02	4.521606e-03	4.521606e-03
5.000000e-02	6.000000e-02	1.797574e-02	5.413405e-03	5.413405e-03
6.000000e-02	7.000000e-02	1.734309e-02	5.316697e-03	5.316697e-03
7.000000e-02	8.000000e-02	2.129009e-02	5.887709e-03	5.887709e-03
8.000000e-02	9.000000e-02	1.313845e-02	4.627444e-03	4.627444e-03
9.000000e-02	1.000000e-01	2.584776e-03	2.054466e-03	2.054466e-03
1.000000e-01	1.100000e-01	6.966678e-03	3.370819e-03	3.370819e-03
1.100000e-01	1.200000e-01	1.026917e-02	4.089952e-03	4.089952e-03
1.200000e-01	1.300000e-01	4.663767e-03	2.758260e-03	2.758260e-03
1.300000e-01	1.400000e-01	5.050997e-03	2.870079e-03	2.870079e-03
1.400000e-01	1.500000e-01	5.911960e-03	3.104158e-03	3.104158e-03
1.500000e-01	1.600000e-01	4.229931e-03	2.626377e-03	2.626377e-03
1.600000e-01	1.700000e-01	1.712459e-03	1.672001e-03	1.672001e-03
1.700000e-01	1.800000e-01	1.500490e-03	1.565137e-03	1.565137e-03
1.800000e-01	1.900000e-01	2.075811e-03	1.840555e-03	1.840555e-03
1.900000e-01	2.000000e-01	2.302307e-03	1.938104e-03	1.938104e-03
2.000000e-01	2.100000e-01	1.353526e-03	1.486426e-03	1.486426e-03
2.100000e-01	2.200000e-01	4.695417e-03	2.765026e-03	2.765026e-03
2.200000e-01	2.300000e-01	5.256731e-03	2.924643e-03	2.924643e-03
2.300000e-01	2.400000e-01	2.254025e-03	1.917282e-03	1.917282e-03
2.400000e-01	2.500000e-01	1.975418e-03	1.794982e-03	1.794982e-03
2.500000e-01	2.600000e-01	6.744258e-04	1.049403e-03	1.049403e-03
2.600000e-01	2.700000e-01	6.214833e-04	1.007380e-03	1.007380e-03
2.700000e-01	2.800000e-01	1.683676e-03	1.657152e-03	1.657152e-03
2.800000e-01	2.900000e-01	3.946538e-03	2.533776e-03	2.533776e-03
2.900000e-01	3.000000e-01	2.065758e-06	5.809617e-05	5.809617e-05
3.000000e-01	3.100000e-01	4.350122e-04	8.428475e-04	8.428475e-04
3.100000e-01	3.200000e-01	2.409623e-03	1.980980e-03	1.980980e-03
3.200000e-01	3.300000e-01	1.136974e-04	4.309740e-04	4.309740e-04
3.300000e-01	3.400000e-01	8.017201e-04	1.143893e-03	1.143893e-03
3.400000e-01	3.500000e-01	1.485107e-03	1.556021e-03	1.556021e-03
3.500000e-01	3.600000e-01	2.999036e-03	2.208641e-03	2.208641e-03
3.600000e-01	3.700000e-01	1.385323e-03	1.502765e-03	1.502765e-03
3.700000e-01	3.800000e-01	1.474521e-03	1.550350e-03	1.550350e-03
3.800000e-01	3.900000e-01	1.972147e-03	1.791981e-03	1.791981e-03
3.900000e-01	4.000000e-01	3.059104e-03	2.229485e-03	2.229485e-03
4.000000e-01	4.100000e-01	3.431506e-03	2.360379e-03	2.360379e-03
4.100000e-01	4.200000e-01	2.952344e-03	2.190157e-03	2.190157e-03
4.200000e-01	4.300000e-01	9.977214e-04	1.275547e-03	1.275547e-03
4.300000e-01	4.400000e-01	8.672725e-04	1.189352e-03	1.189352e-03
4.400000e-01	4.500000e-01	7.888649e-04	1.134297e-03	1.134297e-03
4.500000e-01	4.600000e-01	9.098595e-05	3.855265e-04	3.855265e-04
4.600000e-01	4.700000e-01	3.373903e-04	7.422008e-04	7.422008e-04
4.700000e-01	4.800000e-01	1.410614e-03	1.515792e-03	1.515792e-03
4.800000e-01	4.900000e-01	8.813400e-04	1.198757e-03	1.198757e-03
4.900000e-01	5.000000e-01	9.702717e-04	1.257630e-03	1.257630e-03
