# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
RatioPlot=1
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_2
ScaledBy=1.0
Title=quark-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.400880e-02	2.122460e-02	2.122460e-02
1.000000e-02	2.000000e-02	2.077431e-02	2.581650e-02	2.581650e-02
2.000000e-02	3.000000e-02	1.675265e-04	2.321154e-03	2.321154e-03
3.000000e-02	4.000000e-02	6.917081e-06	4.716621e-04	4.716621e-04
4.000000e-02	5.000000e-02	3.655137e-02	3.404843e-02	3.404843e-02
5.000000e-02	6.000000e-02	2.091336e-02	2.573832e-02	2.573832e-02
6.000000e-02	7.000000e-02	2.467316e-02	2.794083e-02	2.794083e-02
7.000000e-02	8.000000e-02	4.169496e-04	3.661329e-03	3.661329e-03
8.000000e-02	9.000000e-02	2.704212e-03	9.313759e-03	9.313759e-03
9.000000e-02	1.000000e-01	9.549409e-03	1.744373e-02	1.744373e-02
1.000000e-01	1.100000e-01	9.323136e-04	5.472618e-03	5.472618e-03
1.100000e-01	1.200000e-01	8.695749e-03	1.662073e-02	1.662073e-02
1.200000e-01	1.300000e-01	5.877145e-03	1.368097e-02	1.368097e-02
1.300000e-01	1.400000e-01	2.384024e-03	8.739302e-03	8.739302e-03
1.400000e-01	1.500000e-01	9.333252e-03	1.718543e-02	1.718543e-02
1.500000e-01	1.600000e-01	2.396102e-03	8.759199e-03	8.759199e-03
1.600000e-01	1.700000e-01	2.593215e-05	9.132299e-04	9.132299e-04
1.700000e-01	1.800000e-01	3.519657e-02	3.207242e-02	3.207242e-02
1.800000e-01	1.900000e-01	6.655450e-03	1.451621e-02	1.451621e-02
1.900000e-01	2.000000e-01	1.097825e-02	1.853314e-02	1.853314e-02
2.000000e-01	2.100000e-01	2.926087e-03	9.659724e-03	9.659724e-03
2.100000e-01	2.200000e-01	4.939810e-03	1.250339e-02	1.250339e-02
2.200000e-01	2.300000e-01	1.928103e-03	7.844531e-03	7.844531e-03
2.300000e-01	2.400000e-01	6.286137e-03	1.405161e-02	1.405161e-02
2.400000e-01	2.500000e-01	2.104327e-03	8.193381e-03	8.193381e-03
2.500000e-01	2.600000e-01	2.073577e-02	2.407367e-02	2.407367e-02
2.600000e-01	2.700000e-01	1.068747e-02	1.807616e-02	1.807616e-02
2.700000e-01	2.800000e-01	1.576253e-02	2.155681e-02	2.155681e-02
