# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
Title=Angularity, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 1
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.65
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.1_beta_1_alpha_2
ScaledBy=1.0
Title=quark-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	3.325795e-04	3.325795e-04	3.325795e-04
3.000000e-01	4.000000e-01	3.325795e-04	3.325795e-04	3.325795e-04
4.000000e-01	5.000000e-01	3.325795e-04	3.325795e-04	3.325795e-04
5.000000e-01	6.000000e-01	6.798672e-04	1.378142e-03	1.378142e-03
6.000000e-01	7.000000e-01	5.107157e-05	4.025655e-04	4.025655e-04
7.000000e-01	8.000000e-01	1.532146e-04	6.972637e-04	6.972637e-04
8.000000e-01	9.000000e-01	1.878268e-03	2.381368e-03	2.381368e-03
9.000000e-01	1.000000e+00	1.160738e-03	1.904834e-03	1.904834e-03
1.000000e+00	1.100000e+00	3.601966e-03	3.291278e-03	3.291278e-03
1.100000e+00	1.200000e+00	3.110047e-03	3.086647e-03	3.086647e-03
1.200000e+00	1.300000e+00	2.453962e-04	8.867788e-04	8.867788e-04
1.300000e+00	1.400000e+00	8.244329e-03	4.671837e-03	4.671837e-03
1.400000e+00	1.500000e+00	5.517950e-04	1.326580e-03	1.326580e-03
1.500000e+00	1.600000e+00	8.285895e-05	5.159358e-04	5.159358e-04
1.600000e+00	1.700000e+00	1.233893e-04	6.295606e-04	6.295606e-04
1.700000e+00	1.800000e+00	5.553243e-04	1.332660e-03	1.332660e-03
1.800000e+00	1.900000e+00	1.943888e-04	7.900101e-04	7.900101e-04
1.900000e+00	2.000000e+00	1.411533e-03	2.118177e-03	2.118177e-03
2.000000e+00	2.100000e+00	3.819208e-04	1.106400e-03	1.106400e-03
2.100000e+00	2.200000e+00	1.258852e-03	2.002454e-03	2.002454e-03
2.200000e+00	2.300000e+00	7.629647e-04	1.561760e-03	1.561760e-03
2.300000e+00	2.400000e+00	2.942209e-04	9.716917e-04	9.716917e-04
2.400000e+00	2.500000e+00	1.370955e-04	6.636034e-04	6.636034e-04
2.500000e+00	2.600000e+00	2.226419e-03	2.655996e-03	2.655996e-03
2.600000e+00	2.700000e+00	3.982940e-03	3.524828e-03	3.524828e-03
2.700000e+00	2.800000e+00	1.386413e-04	6.674123e-04	6.674123e-04
2.800000e+00	2.900000e+00	1.370955e-04	6.636034e-04	6.636034e-04
2.900000e+00	3.000000e+00	7.505169e-04	1.549088e-03	1.549088e-03
3.000000e+00	3.100000e+00	9.201366e-03	5.297635e-03	5.297635e-03
3.100000e+00	3.200000e+00	1.739312e-05	2.365005e-04	2.365005e-04
3.200000e+00	3.300000e+00	4.438575e-04	1.192835e-03	1.192835e-03
3.300000e+00	3.400000e+00	8.442747e-07	5.210876e-05	5.210876e-05
3.400000e+00	3.500000e+00	5.995616e-04	1.385263e-03	1.385263e-03
3.500000e+00	3.600000e+00	8.279732e-04	1.627221e-03	1.627221e-03
3.600000e+00	3.700000e+00	6.496424e-06	1.445429e-04	1.445429e-04
3.700000e+00	3.800000e+00	1.923770e-06	7.865819e-05	7.865819e-05
3.800000e+00	3.900000e+00	1.133097e-03	1.901314e-03	1.901314e-03
3.900000e+00	4.000000e+00	7.839607e-08	1.587878e-05	1.587878e-05
4.000000e+00	4.100000e+00	3.484393e-03	3.306588e-03	3.306588e-03
4.100000e+00	4.200000e+00	9.576399e-07	5.549701e-05	5.549701e-05
4.200000e+00	4.300000e+00	3.337243e-04	1.034929e-03	1.034929e-03
4.300000e+00	4.400000e+00	1.436443e-05	2.149268e-04	2.149268e-04
4.400000e+00	4.500000e+00	1.299565e-04	6.462423e-04	6.462423e-04
4.500000e+00	4.600000e+00	1.123866e-03	1.893968e-03	1.893968e-03
4.600000e+00	4.700000e+00	5.730546e-03	4.218382e-03	4.218382e-03
4.700000e+00	4.800000e+00	1.954128e-03	2.492542e-03	2.492542e-03
4.800000e+00	4.900000e+00	1.472221e-03	2.166317e-03	2.166317e-03
4.900000e+00	5.000000e+00	1.393423e-04	6.690899e-04	6.690899e-04
5.000000e+00	5.100000e+00	5.072173e-05	4.038265e-04	4.038265e-04
5.100000e+00	5.200000e+00	4.629761e-05	3.858218e-04	3.858218e-04
5.200000e+00	5.300000e+00	4.426843e-03	3.729364e-03	3.729364e-03
5.300000e+00	5.400000e+00	4.456112e-03	3.738189e-03	3.738189e-03
5.400000e+00	5.500000e+00	2.055902e-03	2.556662e-03	2.556662e-03
5.500000e+00	5.600000e+00	1.698726e-03	2.325788e-03	2.325788e-03
5.600000e+00	5.700000e+00	1.405036e-03	2.116391e-03	2.116391e-03
5.700000e+00	5.800000e+00	3.773391e-03	3.437950e-03	3.437950e-03
5.800000e+00	5.900000e+00	1.048972e-03	1.831019e-03	1.831019e-03
5.900000e+00	6.000000e+00	1.181696e-03	1.941538e-03	1.941538e-03
6.000000e+00	6.100000e+00	2.793084e-03	2.974277e-03	2.974277e-03
6.100000e+00	6.200000e+00	4.007153e-05	3.589495e-04	3.589495e-04
6.200000e+00	6.300000e+00	1.731007e-03	2.346568e-03	2.346568e-03
6.300000e+00	6.400000e+00	1.056143e-03	1.838175e-03	1.838175e-03
6.400000e+00	6.500000e+00	1.854478e-03	2.430472e-03	2.430472e-03
6.500000e+00	6.600000e+00	1.052902e-05	1.840142e-04	1.840142e-04
6.600000e+00	6.700000e+00	4.523457e-03	3.774168e-03	3.774168e-03
6.700000e+00	6.800000e+00	3.202798e-09	3.209482e-06	3.209482e-06
6.800000e+00	6.900000e+00	2.467777e-04	8.903316e-04	8.903316e-04
6.900000e+00	7.000000e+00	1.509481e-03	2.194956e-03	2.194956e-03
7.000000e+00	7.100000e+00	1.468523e-03	2.165586e-03	2.165586e-03
7.100000e+00	7.200000e+00	1.741160e-04	7.479967e-04	7.479967e-04
7.200000e+00	7.300000e+00	8.552712e-04	1.655328e-03	1.655328e-03
7.300000e+00	7.400000e+00	2.871476e-04	9.603820e-04	9.603820e-04
7.400000e+00	7.500000e+00	5.283172e-03	4.062061e-03	4.062061e-03
7.500000e+00	7.600000e+00	2.539259e-03	2.841443e-03	2.841443e-03
7.600000e+00	7.700000e+00	3.386037e-03	3.271683e-03	3.271683e-03
7.700000e+00	7.800000e+00	5.858825e-04	1.371040e-03	1.371040e-03
7.800000e+00	7.900000e+00	7.855366e-04	1.586879e-03	1.586879e-03
7.900000e+00	8.000000e+00	1.676223e-03	2.313737e-03	2.313737e-03
8.000000e+00	8.100000e+00	2.047947e-03	2.557295e-03	2.557295e-03
8.100000e+00	8.200000e+00	1.081472e-02	5.740155e-03	5.740155e-03
8.200000e+00	8.300000e+00	4.693019e-03	3.843597e-03	3.843597e-03
8.300000e+00	8.400000e+00	4.371967e-06	1.185780e-04	1.185780e-04
8.400000e+00	8.500000e+00	6.233208e-05	4.476788e-04	4.476788e-04
8.500000e+00	8.600000e+00	3.865454e-03	3.487412e-03	3.487412e-03
8.600000e+00	8.700000e+00	6.311142e-03	4.417462e-03	4.417462e-03
8.700000e+00	8.800000e+00	2.209504e-03	2.646484e-03	2.646484e-03
8.800000e+00	8.900000e+00	6.358778e-04	1.427144e-03	1.427144e-03
8.900000e+00	9.000000e+00	3.453947e-03	3.276631e-03	3.276631e-03
9.000000e+00	9.100000e+00	2.589824e-03	2.847161e-03	2.847161e-03
9.100000e+00	9.200000e+00	1.370044e-04	6.633392e-04	6.633392e-04
9.200000e+00	9.300000e+00	1.074639e-02	5.355713e-03	5.355713e-03
9.300000e+00	9.400000e+00	2.754711e-03	2.923973e-03	2.923973e-03
9.400000e+00	9.500000e+00	5.797312e-03	4.041460e-03	4.041460e-03
9.500000e+00	9.600000e+00	2.905416e-04	9.640939e-04	9.640939e-04
9.600000e+00	9.700000e+00	2.306170e-04	8.585172e-04	8.585172e-04
9.700000e+00	9.800000e+00	4.939810e-04	1.250339e-03	1.250339e-03
9.800000e+00	9.900000e+00	2.593485e-04	9.093188e-04	9.093188e-04
9.900000e+00	1.000000e+01	2.973504e-03	2.814143e-03	2.814143e-03
1.000000e+01	1.010000e+01	6.651590e-03	1.487341e-03	1.487341e-03
1.010000e+01	1.020000e+01	2.548222e-03	2.551468e-03	2.551468e-03
1.020000e+01	1.030000e+01	6.148650e-04	1.357852e-03	1.357852e-03
1.030000e+01	1.040000e+01	1.021430e-04	5.693132e-04	5.693132e-04
1.040000e+01	1.050000e+01	7.678349e-04	1.515769e-03	1.515769e-03
1.050000e+01	1.060000e+01	1.584697e-04	7.002511e-04	7.002511e-04
1.060000e+01	1.070000e+01	3.325795e-03	1.051709e-03	1.051709e-03
1.070000e+01	1.080000e+01	3.325795e-04	3.325795e-04	3.325795e-04
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	9.977385e-04	5.760445e-04	5.760445e-04
1.100000e+01	1.110000e+01	9.977385e-04	5.760445e-04	5.760445e-04
1.110000e+01	1.120000e+01	9.977385e-04	5.760445e-04	5.760445e-04
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	3.325795e-04	3.325795e-04	3.325795e-04
1.140000e+01	1.150000e+01	9.977385e-04	5.760445e-04	5.760445e-04
1.150000e+01	1.160000e+01	6.651590e-04	4.703384e-04	4.703384e-04
1.160000e+01	1.170000e+01	3.325795e-04	3.325795e-04	3.325795e-04
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	3.325795e-04	3.325795e-04	3.325795e-04
1.190000e+01	1.200000e+01	3.325795e-04	3.325795e-04	3.325795e-04
1.200000e+01	1.210000e+01	3.325795e-04	3.325795e-04	3.325795e-04
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	3.325795e-04	3.325795e-04	3.325795e-04
1.230000e+01	1.240000e+01	1.275510e-03	1.275510e-03	1.275510e-03
