# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.2 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_1_alpha_1
ScaledBy=1.0
Title=quark-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	6.651590e-04	4.703384e-04	4.703384e-04
4.000000e-01	5.000000e-01	5.529033e-04	1.171425e-03	1.171425e-03
5.000000e-01	6.000000e-01	1.018901e-05	1.808834e-04	1.808834e-04
6.000000e-01	7.000000e-01	1.599207e-04	7.145699e-04	7.145699e-04
7.000000e-01	8.000000e-01	2.197409e-03	2.593431e-03	2.593431e-03
8.000000e-01	9.000000e-01	1.074295e-03	1.842273e-03	1.842273e-03
9.000000e-01	1.000000e+00	7.985761e-04	1.594700e-03	1.594700e-03
1.000000e+00	1.100000e+00	1.011833e-03	1.796062e-03	1.796062e-03
1.100000e+00	1.200000e+00	2.347816e-04	8.679047e-04	8.679047e-04
1.200000e+00	1.300000e+00	2.866080e-05	3.035737e-04	3.035737e-04
1.300000e+00	1.400000e+00	2.264768e-04	8.526065e-04	8.526065e-04
1.400000e+00	1.500000e+00	4.923195e-05	3.978499e-04	3.978499e-04
1.500000e+00	1.600000e+00	3.472315e-04	1.055569e-03	1.055569e-03
1.600000e+00	1.700000e+00	6.266951e-03	4.409541e-03	4.409541e-03
1.700000e+00	1.800000e+00	1.114088e-03	1.886613e-03	1.886613e-03
1.800000e+00	1.900000e+00	4.385649e-04	1.186190e-03	1.186190e-03
1.900000e+00	2.000000e+00	2.338253e-03	2.725232e-03	2.725232e-03
2.000000e+00	2.100000e+00	2.852883e-04	9.571387e-04	9.571387e-04
2.100000e+00	2.200000e+00	1.145720e-03	1.914219e-03	1.914219e-03
2.200000e+00	2.300000e+00	9.082167e-04	1.705042e-03	1.705042e-03
2.300000e+00	2.400000e+00	9.623517e-05	5.562005e-04	5.562005e-04
2.400000e+00	2.500000e+00	2.173167e-06	8.360155e-05	8.360155e-05
2.500000e+00	2.600000e+00	1.711133e-05	2.345827e-04	2.345827e-04
2.600000e+00	2.700000e+00	9.186037e-04	1.715469e-03	1.715469e-03
2.700000e+00	2.800000e+00	4.597129e-03	3.811147e-03	3.811147e-03
2.800000e+00	2.900000e+00	1.255682e-03	2.004596e-03	2.004596e-03
2.900000e+00	3.000000e+00	4.519838e-04	1.204582e-03	1.204582e-03
3.000000e+00	3.100000e+00	3.172775e-03	3.177378e-03	3.177378e-03
3.100000e+00	3.200000e+00	3.263853e-03	3.221115e-03	3.221115e-03
3.200000e+00	3.300000e+00	4.487233e-04	1.200355e-03	1.200355e-03
3.300000e+00	3.400000e+00	3.600924e-04	1.075492e-03	1.075492e-03
3.400000e+00	3.500000e+00	1.495300e-03	2.187849e-03	2.187849e-03
3.500000e+00	3.600000e+00	4.009738e-03	3.568834e-03	3.568834e-03
3.600000e+00	3.700000e+00	6.644562e-04	1.460379e-03	1.460379e-03
3.700000e+00	3.800000e+00	9.469207e-04	1.742651e-03	1.742651e-03
3.800000e+00	3.900000e+00	5.565012e-05	4.230233e-04	4.230233e-04
3.900000e+00	4.000000e+00	3.752483e-03	3.454486e-03	3.454486e-03
4.000000e+00	4.100000e+00	3.185255e-03	3.187112e-03	3.187112e-03
4.100000e+00	4.200000e+00	5.846545e-03	4.305364e-03	4.305364e-03
4.200000e+00	4.300000e+00	2.139866e-04	8.293941e-04	8.293941e-04
4.300000e+00	4.400000e+00	1.246642e-04	6.331134e-04	6.331134e-04
4.400000e+00	4.500000e+00	3.484203e-05	3.347379e-04	3.347379e-04
4.500000e+00	4.600000e+00	2.051200e-04	8.120637e-04	8.120637e-04
4.600000e+00	4.700000e+00	1.575000e-03	2.247229e-03	2.247229e-03
4.700000e+00	4.800000e+00	6.792508e-03	4.642609e-03	4.642609e-03
4.800000e+00	4.900000e+00	2.837095e-03	3.012316e-03	3.012316e-03
4.900000e+00	5.000000e+00	5.257979e-03	4.087808e-03	4.087808e-03
5.000000e+00	5.100000e+00	3.007690e-03	3.099159e-03	3.099159e-03
5.100000e+00	5.200000e+00	2.752096e-03	2.963347e-03	2.963347e-03
5.200000e+00	5.300000e+00	1.117837e-02	5.852564e-03	5.852564e-03
5.300000e+00	5.400000e+00	9.028727e-03	5.258707e-03	5.258707e-03
5.400000e+00	5.500000e+00	3.707563e-03	3.409670e-03	3.409670e-03
5.500000e+00	5.600000e+00	4.437148e-03	3.705378e-03	3.705378e-03
5.600000e+00	5.700000e+00	5.061352e-03	3.899602e-03	3.899602e-03
5.700000e+00	5.800000e+00	4.682551e-03	3.689587e-03	3.689587e-03
5.800000e+00	5.900000e+00	1.123662e-02	4.671592e-03	4.671592e-03
5.900000e+00	6.000000e+00	1.056872e-02	3.666023e-03	3.666023e-03
6.000000e+00	6.100000e+00	2.290388e-03	2.514879e-03	2.514879e-03
6.100000e+00	6.200000e+00	3.030798e-05	3.117705e-04	3.117705e-04
6.200000e+00	6.300000e+00	6.911928e-04	1.389894e-03	1.389894e-03
6.300000e+00	6.400000e+00	4.323533e-03	1.199132e-03	1.199132e-03
6.400000e+00	6.500000e+00	1.018901e-05	1.808834e-04	1.808834e-04
6.500000e+00	6.600000e+00	1.152769e-06	6.087919e-05	6.087919e-05
6.600000e+00	6.700000e+00	9.977385e-04	5.760445e-04	5.760445e-04
6.700000e+00	6.800000e+00	4.874245e-04	1.188291e-03	1.188291e-03
6.800000e+00	6.900000e+00	1.330318e-03	6.651590e-04	6.651590e-04
6.900000e+00	7.000000e+00	6.651590e-04	4.703384e-04	4.703384e-04
7.000000e+00	7.100000e+00	6.651590e-04	4.703384e-04	4.703384e-04
7.100000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.300000e+00	6.651590e-04	4.703384e-04	4.703384e-04
7.300000e+00	7.400000e+00	3.325795e-04	3.325795e-04	3.325795e-04
7.400000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	7.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+00	8.200000e+00	1.275510e-03	1.275510e-03	1.275510e-03
8.200000e+00	8.300000e+00	1.275510e-03	1.275510e-03	1.275510e-03
8.300000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	8.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	9.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
