# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 1
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.05_beta_1_alpha_0.5
ScaledBy=1.0
Title=quark-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.777795e-06	1.102066e-04	1.102066e-04
1.000000e-01	2.000000e-01	1.018240e-03	1.799735e-03	1.799735e-03
2.000000e-01	3.000000e-01	1.262040e-03	2.011027e-03	2.011027e-03
3.000000e-01	4.000000e-01	8.951302e-05	5.364962e-04	5.364962e-04
4.000000e-01	5.000000e-01	5.137239e-04	1.284582e-03	1.284582e-03
5.000000e-01	6.000000e-01	3.024691e-03	3.108524e-03	3.108524e-03
6.000000e-01	7.000000e-01	4.204384e-04	1.162270e-03	1.162270e-03
7.000000e-01	8.000000e-01	2.311386e-03	2.719545e-03	2.719545e-03
8.000000e-01	9.000000e-01	3.001558e-04	9.821339e-04	9.821339e-04
9.000000e-01	1.000000e+00	1.828829e-04	7.667565e-04	7.667565e-04
1.000000e+00	1.100000e+00	1.103726e-03	1.881295e-03	1.881295e-03
1.100000e+00	1.200000e+00	7.009845e-05	4.747721e-04	4.747721e-04
1.200000e+00	1.300000e+00	5.613644e-03	4.222705e-03	4.222705e-03
1.300000e+00	1.400000e+00	1.173425e-03	1.939960e-03	1.939960e-03
1.400000e+00	1.500000e+00	6.644237e-03	4.588918e-03	4.588918e-03
1.500000e+00	1.600000e+00	2.245278e-03	2.680984e-03	2.680984e-03
1.600000e+00	1.700000e+00	6.941670e-04	1.493153e-03	1.493153e-03
1.700000e+00	1.800000e+00	1.210252e-04	6.238149e-04	6.238149e-04
1.800000e+00	1.900000e+00	5.037101e-04	1.272235e-03	1.272235e-03
1.900000e+00	2.000000e+00	8.689878e-05	5.286212e-04	5.286212e-04
2.000000e+00	2.100000e+00	4.857456e-04	1.249400e-03	1.249400e-03
2.100000e+00	2.200000e+00	4.771915e-04	1.238343e-03	1.238343e-03
2.200000e+00	2.300000e+00	1.091580e-04	5.924605e-04	5.924605e-04
2.300000e+00	2.400000e+00	2.473309e-03	2.814102e-03	2.814102e-03
2.400000e+00	2.500000e+00	3.610548e-05	3.407547e-04	3.407547e-04
2.500000e+00	2.600000e+00	3.104504e-03	3.149267e-03	3.149267e-03
2.600000e+00	2.700000e+00	4.445931e-03	3.758712e-03	3.758712e-03
2.700000e+00	2.800000e+00	5.400829e-05	4.167409e-04	4.167409e-04
2.800000e+00	2.900000e+00	6.241846e-03	4.427769e-03	4.427769e-03
