# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.1 $\beta$ = 2
RatioPlot=1
LogX=0
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.1_beta_2_alpha_1
ScaledBy=1.0
Title=quark-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.018901e-05	1.808834e-04	1.808834e-04
1.000000e-01	2.000000e-01	4.145277e-04	1.150649e-03	1.150649e-03
2.000000e-01	3.000000e-01	1.824678e-03	2.413611e-03	2.413611e-03
3.000000e-01	4.000000e-01	2.921751e-05	3.065288e-04	3.065288e-04
4.000000e-01	5.000000e-01	5.419583e-04	1.319114e-03	1.319114e-03
5.000000e-01	6.000000e-01	2.227798e-03	2.669056e-03	2.669056e-03
6.000000e-01	7.000000e-01	2.381040e-04	8.748214e-04	8.748214e-04
7.000000e-01	8.000000e-01	2.929620e-03	3.059242e-03	3.059242e-03
8.000000e-01	9.000000e-01	6.692670e-04	1.465826e-03	1.465826e-03
9.000000e-01	1.000000e+00	1.941071e-04	7.899379e-04	7.899379e-04
1.000000e+00	1.100000e+00	1.025297e-03	1.813718e-03	1.813718e-03
1.100000e+00	1.200000e+00	8.313614e-05	5.170440e-04	5.170440e-04
1.200000e+00	1.300000e+00	1.075750e-02	5.830736e-03	5.830736e-03
1.300000e+00	1.400000e+00	6.080637e-04	1.397728e-03	1.397728e-03
1.400000e+00	1.500000e+00	8.570552e-03	5.218305e-03	5.218305e-03
1.500000e+00	1.600000e+00	6.838832e-04	1.482410e-03	1.482410e-03
1.600000e+00	1.700000e+00	1.016885e-03	1.807367e-03	1.807367e-03
1.700000e+00	1.800000e+00	1.375139e-05	2.103005e-04	2.103005e-04
1.800000e+00	1.900000e+00	2.904246e-05	3.056185e-04	3.056185e-04
1.900000e+00	2.000000e+00	9.837624e-05	5.624581e-04	5.624581e-04
2.000000e+00	2.100000e+00	7.257229e-04	1.526971e-03	1.526971e-03
2.100000e+00	2.200000e+00	1.155973e-03	1.926293e-03	1.926293e-03
2.200000e+00	2.300000e+00	1.794246e-03	2.397993e-03	2.397993e-03
2.300000e+00	2.400000e+00	4.524028e-03	3.791201e-03	3.791201e-03
2.400000e+00	2.500000e+00	1.567331e-03	2.239147e-03	2.239147e-03
2.500000e+00	2.600000e+00	2.393928e-03	2.760482e-03	2.760482e-03
2.600000e+00	2.700000e+00	4.656093e-03	3.811131e-03	3.811131e-03
2.700000e+00	2.800000e+00	9.137131e-05	5.418859e-04	5.418859e-04
2.800000e+00	2.900000e+00	1.521645e-03	2.193282e-03	2.193282e-03
