# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.1 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_2_alpha_2
ScaledBy=1.0
Title=quark-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.839177e-03	1.071811e-02	1.071811e-02
1.000000e-02	2.000000e-02	2.481237e-02	2.336471e-02	2.336471e-02
2.000000e-02	3.000000e-02	6.100340e-02	3.143832e-02	3.143832e-02
3.000000e-02	4.000000e-02	7.111576e-03	1.503954e-02	1.503954e-02
4.000000e-02	5.000000e-02	3.706692e-02	3.376687e-02	3.376687e-02
5.000000e-02	6.000000e-02	4.120052e-02	3.578999e-02	3.578999e-02
6.000000e-02	7.000000e-02	1.506937e-02	2.192006e-02	2.192006e-02
7.000000e-02	8.000000e-02	6.136711e-02	4.391136e-02	4.391136e-02
8.000000e-02	9.000000e-02	1.876504e-02	2.449872e-02	2.449872e-02
9.000000e-02	1.000000e-01	2.548377e-02	2.853757e-02	2.853757e-02
1.000000e-01	1.100000e-01	1.288957e-02	2.033314e-02	2.033314e-02
1.100000e-01	1.200000e-01	1.189891e-02	1.953992e-02	1.953992e-02
1.200000e-01	1.300000e-01	1.548296e-02	2.228059e-02	2.228059e-02
1.300000e-01	1.400000e-01	2.158064e-03	8.329614e-03	8.329614e-03
1.400000e-01	1.500000e-01	6.914146e-06	4.715623e-04	4.715623e-04
1.500000e-01	1.600000e-01	2.416086e-05	8.815064e-04	8.815064e-04
1.600000e-01	1.700000e-01	1.686996e-03	7.364818e-03	7.364818e-03
1.700000e-01	1.800000e-01	1.743120e-03	7.486182e-03	7.486182e-03
1.800000e-01	1.900000e-01	1.446513e-02	2.153375e-02	2.153375e-02
1.900000e-01	2.000000e-01	8.096050e-03	1.612187e-02	1.612187e-02
2.000000e-01	2.100000e-01	1.535237e-02	2.217995e-02	2.217995e-02
2.100000e-01	2.200000e-01	3.341884e-04	3.278265e-03	3.278265e-03
2.200000e-01	2.300000e-01	3.729246e-03	1.094522e-02	1.094522e-02
2.300000e-01	2.400000e-01	3.308494e-02	3.244606e-02	3.244606e-02
2.400000e-01	2.500000e-01	4.549847e-02	3.792671e-02	3.792671e-02
2.500000e-01	2.600000e-01	5.121580e-03	1.282068e-02	1.282068e-02
2.600000e-01	2.700000e-01	4.263394e-03	1.169781e-02	1.169781e-02
2.700000e-01	2.800000e-01	1.184678e-02	1.946845e-02	1.946845e-02
2.800000e-01	2.900000e-01	4.359985e-02	3.711732e-02	3.711732e-02
2.900000e-01	3.000000e-01	4.217310e-02	3.640056e-02	3.640056e-02
3.000000e-01	3.100000e-01	1.433734e-03	6.787451e-03	6.787451e-03
3.100000e-01	3.200000e-01	1.175508e-03	6.146109e-03	6.146109e-03
3.200000e-01	3.300000e-01	1.584239e-02	2.246633e-02	2.246633e-02
3.300000e-01	3.400000e-01	1.244248e-02	1.989052e-02	1.989052e-02
3.400000e-01	3.500000e-01	2.257354e-02	2.671316e-02	2.671316e-02
