# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/as013650-quark-robustness.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/pythia-alphas/robustness/quark-as013650-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_1_alpha_0.5
ScaledBy=1.0
Title=quark-as013650-as012285-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.370042e-06	3.748967e-04	3.748967e-04
1.000000e-02	2.000000e-02	6.429308e-02	4.508306e-02	4.508306e-02
2.000000e-02	3.000000e-02	1.413829e-01	6.687793e-02	6.687793e-02
3.000000e-02	4.000000e-02	9.967362e-03	1.789740e-02	1.789740e-02
4.000000e-02	5.000000e-02	7.683873e-02	4.956250e-02	4.956250e-02
5.000000e-02	6.000000e-02	1.001823e-01	5.649857e-02	5.649857e-02
6.000000e-02	7.000000e-02	1.548308e-02	2.229845e-02	2.229845e-02
7.000000e-02	8.000000e-02	3.272588e-03	1.025695e-02	1.025695e-02
8.000000e-02	9.000000e-02	3.263400e-02	3.231148e-02	3.231148e-02
9.000000e-02	1.000000e-01	8.202846e-04	5.135901e-03	5.135901e-03
1.000000e-01	1.100000e-01	3.462326e-02	3.323335e-02	3.323335e-02
1.100000e-01	1.200000e-01	1.015972e-02	1.804907e-02	1.804907e-02
1.200000e-01	1.300000e-01	4.587999e-02	3.812123e-02	3.812123e-02
1.300000e-01	1.400000e-01	8.190635e-02	5.055996e-02	5.055996e-02
1.400000e-01	1.500000e-01	1.741048e-02	2.356957e-02	2.356957e-02
1.500000e-01	1.600000e-01	8.770476e-04	5.309840e-03	5.309840e-03
1.600000e-01	1.700000e-01	7.313698e-03	1.530455e-02	1.530455e-02
1.700000e-01	1.800000e-01	7.604523e-03	1.560516e-02	1.560516e-02
1.800000e-01	1.900000e-01	1.181352e-02	1.942325e-02	1.942325e-02
1.900000e-01	2.000000e-01	1.527923e-04	2.216667e-03	2.216667e-03
2.000000e-01	2.100000e-01	1.052519e-03	5.815782e-03	5.815782e-03
2.100000e-01	2.200000e-01	1.614968e-02	2.265799e-02	2.265799e-02
2.200000e-01	2.300000e-01	1.834019e-03	7.674230e-03	7.674230e-03
2.300000e-01	2.400000e-01	2.507740e-04	2.839642e-03	2.839642e-03
2.400000e-01	2.500000e-01	4.937300e-02	3.906762e-02	3.906762e-02
2.500000e-01	2.600000e-01	3.134209e-03	1.002378e-02	1.002378e-02
2.600000e-01	2.700000e-01	6.724667e-03	1.465221e-02	1.465221e-02
2.700000e-01	2.800000e-01	7.342656e-03	1.531305e-02	1.531305e-02
2.800000e-01	2.900000e-01	4.879862e-06	3.961619e-04	3.961619e-04
