# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_1_alpha_0.5
ScaledBy=1.58045295781771040e-05
Title=Rivet-gluon-as013650
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.643671e-01	1.611752e-02	1.611752e-02
1.000000e-02	2.000000e-02	2.528725e-01	1.999132e-02	1.999132e-02
2.000000e-02	3.000000e-02	4.204005e-01	2.577641e-02	2.577641e-02
3.000000e-02	4.000000e-02	7.933874e-01	3.541061e-02	3.541061e-02
4.000000e-02	5.000000e-02	1.199564e+00	4.354141e-02	4.354141e-02
5.000000e-02	6.000000e-02	1.782751e+00	5.308064e-02	5.308064e-02
6.000000e-02	7.000000e-02	2.340651e+00	6.082178e-02	6.082178e-02
7.000000e-02	8.000000e-02	2.879585e+00	6.746146e-02	6.746146e-02
8.000000e-02	9.000000e-02	3.407457e+00	7.338477e-02	7.338477e-02
9.000000e-02	1.000000e-01	3.782024e+00	7.731307e-02	7.731307e-02
1.000000e-01	1.100000e-01	3.908460e+00	7.859476e-02	7.859476e-02
1.100000e-01	1.200000e-01	4.071247e+00	8.021480e-02	8.021480e-02
1.200000e-01	1.300000e-01	4.170815e+00	8.118976e-02	8.118976e-02
1.300000e-01	1.400000e-01	4.153430e+00	8.102037e-02	8.102037e-02
1.400000e-01	1.500000e-01	4.241936e+00	8.187906e-02	8.187906e-02
1.500000e-01	1.600000e-01	4.118660e+00	8.068054e-02	8.068054e-02
1.600000e-01	1.700000e-01	4.050701e+00	8.001214e-02	8.001214e-02
1.700000e-01	1.800000e-01	3.892656e+00	7.843570e-02	7.843570e-02
1.800000e-01	1.900000e-01	3.565502e+00	7.506736e-02	7.506736e-02
1.900000e-01	2.000000e-01	3.616076e+00	7.559788e-02	7.559788e-02
2.000000e-01	2.100000e-01	3.292084e+00	7.213171e-02	7.213171e-02
2.100000e-01	2.200000e-01	3.067659e+00	6.962967e-02	6.962967e-02
2.200000e-01	2.300000e-01	3.001280e+00	6.887222e-02	6.887222e-02
2.300000e-01	2.400000e-01	2.797402e+00	6.649182e-02	6.649182e-02
2.400000e-01	2.500000e-01	2.547690e+00	6.345474e-02	6.345474e-02
2.500000e-01	2.600000e-01	2.498696e+00	6.284164e-02	6.284164e-02
2.600000e-01	2.700000e-01	2.342231e+00	6.084230e-02	6.084230e-02
2.700000e-01	2.800000e-01	2.068813e+00	5.718096e-02	5.718096e-02
2.800000e-01	2.900000e-01	2.018238e+00	5.647770e-02	5.647770e-02
2.900000e-01	3.000000e-01	1.899704e+00	5.479411e-02	5.479411e-02
