# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
RatioPlot=1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.2 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_1_alpha_1
ScaledBy=1.58045295781771040e-05
Title=Rivet-gluon-as013650
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.264615e+00	1.210053e-01	1.210053e-01
1.000000e-02	2.000000e-02	1.385741e+01	1.479898e-01	1.479898e-01
2.000000e-02	3.000000e-02	1.140613e+01	1.342641e-01	1.342641e-01
3.000000e-02	4.000000e-02	8.918496e+00	1.187235e-01	1.187235e-01
4.000000e-02	5.000000e-02	7.126262e+00	1.061260e-01	1.061260e-01
5.000000e-02	6.000000e-02	5.917216e+00	9.670512e-02	9.670512e-02
6.000000e-02	7.000000e-02	4.983168e+00	8.874493e-02	8.874493e-02
7.000000e-02	8.000000e-02	4.241936e+00	8.187906e-02	8.187906e-02
8.000000e-02	9.000000e-02	3.597111e+00	7.539937e-02	7.539937e-02
9.000000e-02	1.000000e-01	3.258894e+00	7.176719e-02	7.176719e-02
1.000000e-01	1.100000e-01	2.731023e+00	6.569820e-02	6.569820e-02
1.100000e-01	1.200000e-01	2.473409e+00	6.252284e-02	6.252284e-02
1.200000e-01	1.300000e-01	2.215795e+00	5.917736e-02	5.917736e-02
1.300000e-01	1.400000e-01	2.010336e+00	5.636703e-02	5.636703e-02
1.400000e-01	1.500000e-01	1.817521e+00	5.359576e-02	5.359576e-02
1.500000e-01	1.600000e-01	1.574131e+00	4.987825e-02	4.987825e-02
1.600000e-01	1.700000e-01	1.442954e+00	4.775479e-02	4.775479e-02
1.700000e-01	1.800000e-01	1.313356e+00	4.555983e-02	4.555983e-02
1.800000e-01	1.900000e-01	1.232753e+00	4.413965e-02	4.413965e-02
1.900000e-01	2.000000e-01	1.035197e+00	4.044849e-02	4.044849e-02
2.000000e-01	2.100000e-01	1.032036e+00	4.038668e-02	4.038668e-02
2.100000e-01	2.200000e-01	9.498522e-01	3.874528e-02	3.874528e-02
2.200000e-01	2.300000e-01	8.439619e-01	3.652180e-02	3.652180e-02
2.300000e-01	2.400000e-01	7.364911e-01	3.411730e-02	3.411730e-02
2.400000e-01	2.500000e-01	6.969798e-01	3.318952e-02	3.318952e-02
2.500000e-01	2.600000e-01	6.274398e-01	3.149030e-02	3.149030e-02
2.600000e-01	2.700000e-01	5.626413e-01	2.981993e-02	2.981993e-02
2.700000e-01	2.800000e-01	5.405149e-01	2.922770e-02	2.922770e-02
2.800000e-01	2.900000e-01	4.235614e-01	2.587313e-02	2.587313e-02
2.900000e-01	3.000000e-01	4.109178e-01	2.548404e-02	2.548404e-02
3.000000e-01	3.100000e-01	3.777283e-01	2.443321e-02	2.443321e-02
3.100000e-01	3.200000e-01	3.461192e-01	2.338857e-02	2.338857e-02
3.200000e-01	3.300000e-01	2.987056e-01	2.172764e-02	2.172764e-02
3.300000e-01	3.400000e-01	2.781597e-01	2.096708e-02	2.096708e-02
3.400000e-01	3.500000e-01	2.291657e-01	1.903117e-02	1.903117e-02
3.500000e-01	3.600000e-01	1.896544e-01	1.731300e-02	1.731300e-02
3.600000e-01	3.700000e-01	1.770107e-01	1.672594e-02	1.672594e-02
3.700000e-01	3.800000e-01	1.485626e-01	1.532306e-02	1.532306e-02
3.800000e-01	3.900000e-01	1.517235e-01	1.548521e-02	1.548521e-02
3.900000e-01	4.000000e-01	1.169535e-01	1.359557e-02	1.359557e-02
4.000000e-01	4.100000e-01	8.218355e-02	1.139681e-02	1.139681e-02
4.100000e-01	4.200000e-01	6.953993e-02	1.048354e-02	1.048354e-02
4.200000e-01	4.300000e-01	6.479857e-02	1.011984e-02	1.011984e-02
4.300000e-01	4.400000e-01	4.741359e-02	8.656498e-03	8.656498e-03
4.400000e-01	4.500000e-01	4.109178e-02	8.058760e-03	8.058760e-03
4.500000e-01	4.600000e-01	2.686770e-02	6.516375e-03	6.516375e-03
4.600000e-01	4.700000e-01	2.686770e-02	6.516375e-03	6.516375e-03
4.700000e-01	4.800000e-01	2.844815e-02	6.705294e-03	6.705294e-03
4.800000e-01	4.900000e-01	1.106317e-02	4.181485e-03	4.181485e-03
4.900000e-01	5.000000e-01	1.264362e-02	4.470196e-03	4.470196e-03
5.000000e-01	5.100000e-01	3.160906e-03	2.235098e-03	2.235098e-03
5.100000e-01	5.200000e-01	1.106317e-02	4.181485e-03	4.181485e-03
5.200000e-01	5.300000e-01	1.580453e-03	1.580453e-03	1.580453e-03
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	6.321812e-03	3.160906e-03	3.160906e-03
5.500000e-01	5.600000e-01	3.160906e-03	2.235098e-03	2.235098e-03
5.600000e-01	5.700000e-01	1.580453e-03	1.580453e-03	1.580453e-03
5.700000e-01	5.800000e-01	1.580453e-03	1.580453e-03	1.580453e-03
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	3.160906e-03	2.235098e-03	2.235098e-03
6.000000e-01	6.100000e-01	1.580453e-03	1.580453e-03	1.580453e-03
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
