# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.2 $\beta$ = 0
RatioPlot=1
LogX=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.2_beta_0_alpha_1
ScaledBy=1.58045295781771040e-05
Title=Rivet-gluon-as013650
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-04	1.096478e-04	1.638149e+00	1.638149e+00	1.638149e+00
1.096478e-04	1.202264e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e-04	1.318257e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e-04	1.445440e-04	1.242661e+00	1.242661e+00	1.242661e+00
1.445440e-04	1.584893e-04	1.133323e+00	1.133323e+00	1.133323e+00
1.584893e-04	1.737801e-04	2.067195e+00	1.461727e+00	1.461727e+00
1.737801e-04	1.905461e-04	1.885307e+00	1.333113e+00	1.333113e+00
1.905461e-04	2.089296e-04	4.298564e+00	1.922376e+00	1.922376e+00
2.089296e-04	2.290868e-04	4.704383e+00	1.920556e+00	1.920556e+00
2.290868e-04	2.511886e-04	3.575394e+00	1.598965e+00	1.598965e+00
2.511886e-04	2.754229e-04	5.217242e+00	1.844574e+00	1.844574e+00
2.754229e-04	3.019952e-04	5.947746e+00	1.880843e+00	1.880843e+00
3.019952e-04	3.311311e-04	4.339533e+00	1.534257e+00	1.534257e+00
3.311311e-04	3.630781e-04	4.947109e+00	1.564413e+00	1.564413e+00
3.630781e-04	3.981072e-04	4.511829e+00	1.426766e+00	1.426766e+00
3.981072e-04	4.365158e-04	6.172261e+00	1.593671e+00	1.593671e+00
4.365158e-04	4.786301e-04	6.379710e+00	1.547307e+00	1.547307e+00
4.786301e-04	5.248075e-04	4.791595e+00	1.280608e+00	1.280608e+00
5.248075e-04	5.754399e-04	6.242852e+00	1.395944e+00	1.395944e+00
5.754399e-04	6.309573e-04	8.540312e+00	1.559240e+00	1.559240e+00
6.309573e-04	6.918310e-04	1.142364e+01	1.722179e+00	1.722179e+00
6.918310e-04	7.585776e-04	8.287441e+00	1.400833e+00	1.400833e+00
7.585776e-04	8.317638e-04	1.144533e+01	1.572137e+00	1.572137e+00
8.317638e-04	9.120108e-04	1.634673e+01	1.794287e+00	1.794287e+00
9.120108e-04	1.000000e-03	1.401028e+01	1.586352e+00	1.586352e+00
1.000000e-03	1.096478e-03	1.687293e+01	1.662539e+00	1.662539e+00
1.096478e-03	1.202264e-03	1.987032e+01	1.722976e+00	1.722976e+00
1.202264e-03	1.318257e-03	2.180067e+01	1.723494e+00	1.723494e+00
1.318257e-03	1.445440e-03	2.460468e+01	1.748578e+00	1.748578e+00
1.445440e-03	1.584893e-03	2.923974e+01	1.820386e+00	1.820386e+00
1.584893e-03	1.737801e-03	3.669270e+01	1.947447e+00	1.947447e+00
1.737801e-03	1.905461e-03	3.732908e+01	1.875857e+00	1.875857e+00
1.905461e-03	2.089296e-03	3.894499e+01	1.829795e+00	1.829795e+00
2.089296e-03	2.290868e-03	4.092812e+01	1.791375e+00	1.791375e+00
2.290868e-03	2.511886e-03	4.133156e+01	1.719166e+00	1.719166e+00
2.511886e-03	2.754229e-03	4.017277e+01	1.618607e+00	1.618607e+00
2.754229e-03	3.019952e-03	3.634073e+01	1.470188e+00	1.470188e+00
3.019952e-03	3.311311e-03	3.992370e+01	1.471608e+00	1.471608e+00
3.311311e-03	3.630781e-03	3.759802e+01	1.363824e+00	1.363824e+00
3.630781e-03	3.981072e-03	3.158280e+01	1.193718e+00	1.193718e+00
3.981072e-03	4.365158e-03	3.110819e+01	1.131394e+00	1.131394e+00
4.365158e-03	4.786301e-03	2.863365e+01	1.036607e+00	1.036607e+00
4.786301e-03	5.248075e-03	2.861268e+01	9.895898e-01	9.895898e-01
5.248075e-03	5.754399e-03	2.531476e+01	8.889216e-01	8.889216e-01
5.754399e-03	6.309573e-03	2.331505e+01	8.146938e-01	8.146938e-01
6.309573e-03	6.918310e-03	2.219821e+01	7.591628e-01	7.591628e-01
6.918310e-03	7.585776e-03	1.965308e+01	6.821682e-01	6.821682e-01
7.585776e-03	8.317638e-03	1.939228e+01	6.471286e-01	6.471286e-01
8.317638e-03	9.120108e-03	1.748903e+01	5.868934e-01	5.868934e-01
9.120108e-03	1.000000e-02	1.593221e+01	5.349511e-01	5.349511e-01
1.000000e-02	1.096478e-02	1.536583e+01	5.017122e-01	5.017122e-01
1.096478e-02	1.202264e-02	1.464129e+01	4.676990e-01	4.676990e-01
1.202264e-02	1.318257e-02	1.294414e+01	4.199635e-01	4.199635e-01
1.318257e-02	1.445440e-02	1.184256e+01	3.836179e-01	3.836179e-01
1.445440e-02	1.584893e-02	1.064190e+01	3.472854e-01	3.472854e-01
