# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.05 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_2
ScaledBy=1.58045295781771040e-05
Title=Rivet-gluon-as013650
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	8.376401e-02	1.150587e-02	1.150587e-02
1.000000e-02	2.000000e-02	1.248558e-01	1.404737e-02	1.404737e-02
2.000000e-02	3.000000e-02	2.449702e-01	1.967648e-02	1.967648e-02
3.000000e-02	4.000000e-02	3.966937e-01	2.503908e-02	2.503908e-02
4.000000e-02	5.000000e-02	5.578999e-01	2.969401e-02	2.969401e-02
5.000000e-02	6.000000e-02	8.012896e-01	3.558653e-02	3.558653e-02
6.000000e-02	7.000000e-02	9.956854e-01	3.966906e-02	3.966906e-02
7.000000e-02	8.000000e-02	1.314937e+00	4.558724e-02	4.558724e-02
8.000000e-02	9.000000e-02	1.499850e+00	4.868719e-02	4.868719e-02
9.000000e-02	1.000000e-01	1.732176e+00	5.232230e-02	5.232230e-02
1.000000e-01	1.100000e-01	1.825423e+00	5.371215e-02	5.371215e-02
1.100000e-01	1.200000e-01	1.973986e+00	5.585510e-02	5.585510e-02
1.200000e-01	1.300000e-01	2.030882e+00	5.665434e-02	5.665434e-02
1.300000e-01	1.400000e-01	2.021399e+00	5.652192e-02	5.652192e-02
1.400000e-01	1.500000e-01	2.269530e+00	5.989062e-02	5.989062e-02
1.500000e-01	1.600000e-01	2.193669e+00	5.888115e-02	5.888115e-02
1.600000e-01	1.700000e-01	2.345392e+00	6.088335e-02	6.088335e-02
1.700000e-01	1.800000e-01	2.169962e+00	5.856213e-02	5.856213e-02
1.800000e-01	1.900000e-01	2.143094e+00	5.819845e-02	5.819845e-02
1.900000e-01	2.000000e-01	2.100422e+00	5.761613e-02	5.761613e-02
2.000000e-01	2.100000e-01	2.067232e+00	5.715911e-02	5.715911e-02
2.100000e-01	2.200000e-01	2.011917e+00	5.638918e-02	5.638918e-02
2.200000e-01	2.300000e-01	1.896544e+00	5.474850e-02	5.474850e-02
2.300000e-01	2.400000e-01	1.975566e+00	5.587745e-02	5.587745e-02
2.400000e-01	2.500000e-01	1.850710e+00	5.408291e-02	5.408291e-02
2.500000e-01	2.600000e-01	1.875998e+00	5.445113e-02	5.445113e-02
2.600000e-01	2.700000e-01	1.827004e+00	5.373540e-02	5.373540e-02
2.700000e-01	2.800000e-01	1.757464e+00	5.270284e-02	5.270284e-02
2.800000e-01	2.900000e-01	1.768527e+00	5.286846e-02	5.286846e-02
2.900000e-01	3.000000e-01	1.642091e+00	5.094357e-02	5.094357e-02
3.000000e-01	3.100000e-01	1.689504e+00	5.167380e-02	5.167380e-02
3.100000e-01	3.200000e-01	1.604160e+00	5.035175e-02	5.035175e-02
3.200000e-01	3.300000e-01	1.583614e+00	5.002826e-02	5.002826e-02
3.300000e-01	3.400000e-01	1.570970e+00	4.982815e-02	4.982815e-02
3.400000e-01	3.500000e-01	1.476143e+00	4.830088e-02	4.830088e-02
3.500000e-01	3.600000e-01	1.409764e+00	4.720239e-02	4.720239e-02
3.600000e-01	3.700000e-01	1.447695e+00	4.783319e-02	4.783319e-02
3.700000e-01	3.800000e-01	1.379735e+00	4.669697e-02	4.669697e-02
3.800000e-01	3.900000e-01	1.329161e+00	4.583313e-02	4.583313e-02
3.900000e-01	4.000000e-01	1.348126e+00	4.615896e-02	4.615896e-02
4.000000e-01	4.100000e-01	1.267523e+00	4.475780e-02	4.475780e-02
4.100000e-01	4.200000e-01	1.258041e+00	4.459007e-02	4.459007e-02
4.200000e-01	4.300000e-01	1.256460e+00	4.456205e-02	4.456205e-02
4.300000e-01	4.400000e-01	1.295971e+00	4.525729e-02	4.525729e-02
4.400000e-01	4.500000e-01	1.166374e+00	4.293483e-02	4.293483e-02
4.500000e-01	4.600000e-01	1.262782e+00	4.467401e-02	4.467401e-02
4.600000e-01	4.700000e-01	1.193242e+00	4.342652e-02	4.342652e-02
4.700000e-01	4.800000e-01	1.180598e+00	4.319583e-02	4.319583e-02
4.800000e-01	4.900000e-01	1.139507e+00	4.243745e-02	4.243745e-02
4.900000e-01	5.000000e-01	1.071547e+00	4.115252e-02	4.115252e-02
5.000000e-01	5.100000e-01	1.114219e+00	4.196392e-02	4.196392e-02
5.100000e-01	5.200000e-01	1.055743e+00	4.084790e-02	4.084790e-02
5.200000e-01	5.300000e-01	1.114219e+00	4.196392e-02	4.196392e-02
5.300000e-01	5.400000e-01	1.002007e+00	3.979479e-02	3.979479e-02
5.400000e-01	5.500000e-01	9.941049e-01	3.963756e-02	3.963756e-02
5.500000e-01	5.600000e-01	9.909440e-01	3.957449e-02	3.957449e-02
5.600000e-01	5.700000e-01	9.482718e-01	3.871303e-02	3.871303e-02
5.700000e-01	5.800000e-01	9.514327e-01	3.877751e-02	3.877751e-02
5.800000e-01	5.900000e-01	9.498522e-01	3.874528e-02	3.874528e-02
5.900000e-01	6.000000e-01	8.787318e-01	3.726653e-02	3.726653e-02
6.000000e-01	6.100000e-01	8.882146e-01	3.746707e-02	3.746707e-02
6.100000e-01	6.200000e-01	9.055995e-01	3.783196e-02	3.783196e-02
6.200000e-01	6.300000e-01	7.601979e-01	3.466204e-02	3.466204e-02
6.300000e-01	6.400000e-01	7.886460e-01	3.530465e-02	3.530465e-02
6.400000e-01	6.500000e-01	8.724100e-01	3.713224e-02	3.713224e-02
6.500000e-01	6.600000e-01	7.918069e-01	3.537533e-02	3.537533e-02
6.600000e-01	6.700000e-01	7.475542e-01	3.437258e-02	3.437258e-02
6.700000e-01	6.800000e-01	7.760024e-01	3.502049e-02	3.502049e-02
6.800000e-01	6.900000e-01	7.712610e-01	3.491335e-02	3.491335e-02
6.900000e-01	7.000000e-01	6.764339e-01	3.269667e-02	3.269667e-02
7.000000e-01	7.100000e-01	6.827557e-01	3.284909e-02	3.284909e-02
7.100000e-01	7.200000e-01	6.306007e-01	3.156952e-02	3.156952e-02
7.200000e-01	7.300000e-01	6.258594e-01	3.145062e-02	3.145062e-02
7.300000e-01	7.400000e-01	6.622098e-01	3.235106e-02	3.235106e-02
7.400000e-01	7.500000e-01	6.147962e-01	3.117141e-02	3.117141e-02
7.500000e-01	7.600000e-01	5.626413e-01	2.981993e-02	2.981993e-02
7.600000e-01	7.700000e-01	5.373540e-01	2.914211e-02	2.914211e-02
7.700000e-01	7.800000e-01	4.693945e-01	2.723703e-02	2.723703e-02
7.800000e-01	7.900000e-01	5.515781e-01	2.952530e-02	2.952530e-02
7.900000e-01	8.000000e-01	4.267223e-01	2.596949e-02	2.596949e-02
