# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as012285.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as015015.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.1 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-gluon-as013650.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.1_beta_0_alpha_0.5
ScaledBy=1.58045295781771040e-05
Title=Rivet-gluon-as013650
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.931440e+00	9.682129e-02	9.682129e-02
1.000000e-02	2.000000e-02	6.958734e+00	1.048711e-01	1.048711e-01
2.000000e-02	3.000000e-02	5.632734e+00	9.435185e-02	9.435185e-02
3.000000e-02	4.000000e-02	4.564348e+00	8.493373e-02	8.493373e-02
4.000000e-02	5.000000e-02	3.815213e+00	7.765156e-02	7.765156e-02
5.000000e-02	6.000000e-02	3.317371e+00	7.240820e-02	7.240820e-02
6.000000e-02	7.000000e-02	2.993378e+00	6.878149e-02	6.878149e-02
7.000000e-02	8.000000e-02	2.712057e+00	6.546968e-02	6.546968e-02
8.000000e-02	9.000000e-02	2.373840e+00	6.125147e-02	6.125147e-02
9.000000e-02	1.000000e-01	2.346973e+00	6.090386e-02	6.090386e-02
1.000000e-01	1.100000e-01	2.113066e+00	5.778928e-02	5.778928e-02
1.100000e-01	1.200000e-01	2.046687e+00	5.687435e-02	5.687435e-02
1.200000e-01	1.300000e-01	1.899704e+00	5.479411e-02	5.479411e-02
1.300000e-01	1.400000e-01	1.838067e+00	5.389785e-02	5.389785e-02
1.400000e-01	1.500000e-01	1.785912e+00	5.312768e-02	5.312768e-02
1.500000e-01	1.600000e-01	1.634188e+00	5.082084e-02	5.082084e-02
1.600000e-01	1.700000e-01	1.588355e+00	5.010310e-02	5.010310e-02
1.700000e-01	1.800000e-01	1.556746e+00	4.960206e-02	4.960206e-02
1.800000e-01	1.900000e-01	1.371833e+00	4.656305e-02	4.656305e-02
1.900000e-01	2.000000e-01	1.314937e+00	4.558724e-02	4.558724e-02
2.000000e-01	2.100000e-01	1.281747e+00	4.500823e-02	4.500823e-02
2.100000e-01	2.200000e-01	1.234334e+00	4.416793e-02	4.416793e-02
2.200000e-01	2.300000e-01	1.172696e+00	4.305103e-02	4.305103e-02
2.300000e-01	2.400000e-01	1.262782e+00	4.467401e-02	4.467401e-02
2.400000e-01	2.500000e-01	1.122122e+00	4.211247e-02	4.211247e-02
2.500000e-01	2.600000e-01	1.096834e+00	4.163526e-02	4.163526e-02
2.600000e-01	2.700000e-01	1.112639e+00	4.193415e-02	4.193415e-02
2.700000e-01	2.800000e-01	1.005168e+00	3.985751e-02	3.985751e-02
2.800000e-01	2.900000e-01	1.054162e+00	4.081732e-02	4.081732e-02
2.900000e-01	3.000000e-01	9.593349e-01	3.893821e-02	3.893821e-02
3.000000e-01	3.100000e-01	9.656568e-01	3.906629e-02	3.906629e-02
3.100000e-01	3.200000e-01	9.150823e-01	3.802951e-02	3.802951e-02
3.200000e-01	3.300000e-01	8.882146e-01	3.746707e-02	3.746707e-02
3.300000e-01	3.400000e-01	9.071800e-01	3.786496e-02	3.786496e-02
3.400000e-01	3.500000e-01	8.660882e-01	3.699746e-02	3.699746e-02
3.500000e-01	3.600000e-01	8.107724e-01	3.579648e-02	3.579648e-02
3.600000e-01	3.700000e-01	8.297378e-01	3.621273e-02	3.621273e-02
3.700000e-01	3.800000e-01	8.123528e-01	3.583134e-02	3.583134e-02
3.800000e-01	3.900000e-01	7.570370e-01	3.458990e-02	3.458990e-02
3.900000e-01	4.000000e-01	7.522956e-01	3.448142e-02	3.448142e-02
4.000000e-01	4.100000e-01	7.159452e-01	3.363804e-02	3.363804e-02
4.100000e-01	4.200000e-01	7.428129e-01	3.426341e-02	3.426341e-02
4.200000e-01	4.300000e-01	7.206865e-01	3.374924e-02	3.374924e-02
4.300000e-01	4.400000e-01	7.191061e-01	3.371221e-02	3.371221e-02
4.400000e-01	4.500000e-01	6.400834e-01	3.180601e-02	3.180601e-02
4.500000e-01	4.600000e-01	6.780143e-01	3.273484e-02	3.273484e-02
4.600000e-01	4.700000e-01	6.574684e-01	3.223504e-02	3.223504e-02
4.700000e-01	4.800000e-01	6.701121e-01	3.254352e-02	3.254352e-02
4.800000e-01	4.900000e-01	6.448248e-01	3.192358e-02	3.192358e-02
4.900000e-01	5.000000e-01	6.416639e-01	3.184525e-02	3.184525e-02
5.000000e-01	5.100000e-01	6.321812e-01	3.160906e-02	3.160906e-02
5.100000e-01	5.200000e-01	6.274398e-01	3.149030e-02	3.149030e-02
5.200000e-01	5.300000e-01	6.290203e-01	3.152994e-02	3.152994e-02
5.300000e-01	5.400000e-01	5.958308e-01	3.068685e-02	3.068685e-02
5.400000e-01	5.500000e-01	5.215495e-01	2.871035e-02	2.871035e-02
5.500000e-01	5.600000e-01	5.768653e-01	3.019451e-02	3.019451e-02
5.600000e-01	5.700000e-01	5.784458e-01	3.023584e-02	3.023584e-02
