# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.2_beta_2_alpha_0.5
ScaledBy=1.26596700889974804e-05
Title=Rivet-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.272525e+00	6.436543e-02	6.436543e-02
1.000000e-02	2.000000e-02	4.624577e+00	7.651512e-02	7.651512e-02
2.000000e-02	3.000000e-02	6.089301e+00	8.780009e-02	8.780009e-02
3.000000e-02	4.000000e-02	6.740008e+00	9.237223e-02	9.237223e-02
4.000000e-02	5.000000e-02	6.965350e+00	9.390370e-02	9.390370e-02
5.000000e-02	6.000000e-02	6.646327e+00	9.172802e-02	9.172802e-02
6.000000e-02	7.000000e-02	6.184249e+00	8.848195e-02	8.848195e-02
7.000000e-02	8.000000e-02	5.605702e+00	8.424152e-02	8.424152e-02
8.000000e-02	9.000000e-02	5.036017e+00	7.984630e-02	7.984630e-02
9.000000e-02	1.000000e-01	4.698004e+00	7.712015e-02	7.712015e-02
1.000000e-01	1.100000e-01	4.008052e+00	7.123244e-02	7.123244e-02
1.100000e-01	1.200000e-01	3.530782e+00	6.685697e-02	6.685697e-02
1.200000e-01	1.300000e-01	3.237078e+00	6.401588e-02	6.401588e-02
1.300000e-01	1.400000e-01	2.811713e+00	5.966185e-02	5.966185e-02
1.400000e-01	1.500000e-01	2.620552e+00	5.759802e-02	5.759802e-02
1.500000e-01	1.600000e-01	2.405337e+00	5.518223e-02	5.518223e-02
1.600000e-01	1.700000e-01	2.071122e+00	5.120520e-02	5.120520e-02
1.700000e-01	1.800000e-01	2.026813e+00	5.065451e-02	5.065451e-02
1.800000e-01	1.900000e-01	1.810333e+00	4.787298e-02	4.787298e-02
1.900000e-01	2.000000e-01	1.668545e+00	4.596000e-02	4.596000e-02
2.000000e-01	2.100000e-01	1.516628e+00	4.381783e-02	4.381783e-02
2.100000e-01	2.200000e-01	1.393830e+00	4.200645e-02	4.200645e-02
2.200000e-01	2.300000e-01	1.231786e+00	3.948924e-02	3.948924e-02
2.300000e-01	2.400000e-01	1.245712e+00	3.971184e-02	3.971184e-02
2.400000e-01	2.500000e-01	1.101391e+00	3.734066e-02	3.734066e-02
2.500000e-01	2.600000e-01	1.033029e+00	3.616325e-02	3.616325e-02
2.600000e-01	2.700000e-01	9.697307e-01	3.503779e-02	3.503779e-02
2.700000e-01	2.800000e-01	8.051550e-01	3.192648e-02	3.192648e-02
2.800000e-01	2.900000e-01	8.013571e-01	3.185109e-02	3.185109e-02
2.900000e-01	3.000000e-01	7.583142e-01	3.098388e-02	3.098388e-02
3.000000e-01	3.100000e-01	6.848882e-01	2.944564e-02	2.944564e-02
3.100000e-01	3.200000e-01	6.608348e-01	2.892395e-02	2.892395e-02
3.200000e-01	3.300000e-01	6.165259e-01	2.793746e-02	2.793746e-02
3.300000e-01	3.400000e-01	5.241103e-01	2.575862e-02	2.575862e-02
3.400000e-01	3.500000e-01	5.405679e-01	2.615991e-02	2.615991e-02
3.500000e-01	3.600000e-01	4.076414e-01	2.271697e-02	2.271697e-02
3.600000e-01	3.700000e-01	4.114393e-01	2.282255e-02	2.282255e-02
3.700000e-01	3.800000e-01	4.177691e-01	2.299743e-02	2.299743e-02
3.800000e-01	3.900000e-01	3.240876e-01	2.025547e-02	2.025547e-02
3.900000e-01	4.000000e-01	3.367472e-01	2.064730e-02	2.064730e-02
4.000000e-01	4.100000e-01	2.392678e-01	1.740417e-02	1.740417e-02
4.100000e-01	4.200000e-01	2.354699e-01	1.726549e-02	1.726549e-02
4.200000e-01	4.300000e-01	2.557253e-01	1.799277e-02	1.799277e-02
4.300000e-01	4.400000e-01	2.088846e-01	1.626164e-02	1.626164e-02
4.400000e-01	4.500000e-01	1.848312e-01	1.529674e-02	1.529674e-02
4.500000e-01	4.600000e-01	1.860972e-01	1.534904e-02	1.534904e-02
4.600000e-01	4.700000e-01	1.544480e-01	1.398306e-02	1.398306e-02
4.700000e-01	4.800000e-01	1.152030e-01	1.207656e-02	1.207656e-02
4.800000e-01	4.900000e-01	8.735172e-02	1.051591e-02	1.051591e-02
4.900000e-01	5.000000e-01	9.874543e-02	1.118072e-02	1.118072e-02
5.000000e-01	5.100000e-01	6.583028e-02	9.129018e-03	9.129018e-03
5.100000e-01	5.200000e-01	5.823448e-02	8.586206e-03	8.586206e-03
5.200000e-01	5.300000e-01	4.051094e-02	7.161391e-03	7.161391e-03
5.300000e-01	5.400000e-01	4.557481e-02	7.595802e-03	7.595802e-03
5.400000e-01	5.500000e-01	3.291514e-02	6.455190e-03	6.455190e-03
5.500000e-01	5.600000e-01	3.291514e-02	6.455190e-03	6.455190e-03
5.600000e-01	5.700000e-01	3.164918e-02	6.329835e-03	6.329835e-03
5.700000e-01	5.800000e-01	2.405337e-02	5.518223e-03	5.518223e-03
5.800000e-01	5.900000e-01	8.861769e-03	3.349434e-03	3.349434e-03
5.900000e-01	6.000000e-01	1.012774e-02	3.580695e-03	3.580695e-03
6.000000e-01	6.100000e-01	1.012774e-02	3.580695e-03	3.580695e-03
6.100000e-01	6.200000e-01	1.139370e-02	3.797901e-03	3.797901e-03
6.200000e-01	6.300000e-01	7.595802e-03	3.100973e-03	3.100973e-03
6.300000e-01	6.400000e-01	6.329835e-03	2.830788e-03	2.830788e-03
6.400000e-01	6.500000e-01	6.329835e-03	2.830788e-03	2.830788e-03
6.500000e-01	6.600000e-01	3.797901e-03	2.192719e-03	2.192719e-03
6.600000e-01	6.700000e-01	2.531934e-03	1.790348e-03	1.790348e-03
6.700000e-01	6.800000e-01	1.265967e-03	1.265967e-03	1.265967e-03
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
