# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1
Title=Angularity, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 2
RatioPlot=1
LogX=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1
XLabel=$e_\alpha$
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_\alpha$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_Angularity_zcut_0.05_beta_2_alpha_1
ScaledBy=1.26596700889974804e-05
Title=Rivet-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-04	1.096478e-04	3.936546e+00	2.272766e+00	2.272766e+00
1.096478e-04	1.202264e-04	3.590174e+00	2.072788e+00	2.072788e+00
1.202264e-04	1.318257e-04	1.091417e+00	1.091417e+00	1.091417e+00
1.318257e-04	1.445440e-04	1.990780e+00	1.407694e+00	1.407694e+00
1.445440e-04	1.584893e-04	2.723427e+00	1.572371e+00	1.572371e+00
1.584893e-04	1.737801e-04	1.655855e+00	1.170866e+00	1.170866e+00
1.737801e-04	1.905461e-04	7.550799e-01	7.550798e-01	7.550798e-01
1.905461e-04	2.089296e-04	1.377286e+00	9.738884e-01	9.738884e-01
2.089296e-04	2.290868e-04	3.140235e+00	1.404356e+00	1.404356e+00
2.290868e-04	2.511886e-04	4.582315e+00	1.620092e+00	1.620092e+00
2.511886e-04	2.754229e-04	2.611932e+00	1.168092e+00	1.168092e+00
2.754229e-04	3.019952e-04	1.905694e+00	9.528472e-01	9.528472e-01
3.019952e-04	3.311311e-04	3.041529e+00	1.149590e+00	1.149590e+00
3.311311e-04	3.630781e-04	3.566438e+00	1.188813e+00	1.188813e+00
3.630781e-04	3.981072e-04	3.614044e+00	1.142861e+00	1.142861e+00
3.981072e-04	4.365158e-04	2.307236e+00	8.720532e-01	8.720532e-01
4.365158e-04	4.786301e-04	4.509041e+00	1.164229e+00	1.164229e+00
4.786301e-04	5.248075e-04	4.934754e+00	1.163132e+00	1.163132e+00
5.248075e-04	5.754399e-04	6.500806e+00	1.274913e+00	1.274913e+00
5.754399e-04	6.309573e-04	6.612889e+00	1.227983e+00	1.227983e+00
6.309573e-04	6.918310e-04	6.031018e+00	1.119932e+00	1.119932e+00
6.918310e-04	7.585776e-04	1.024205e+01	1.393767e+00	1.393767e+00
7.585776e-04	8.317638e-04	8.302989e+00	1.198433e+00	1.198433e+00
8.317638e-04	9.120108e-04	9.938804e+00	1.252172e+00	1.252172e+00
9.120108e-04	1.000000e-03	1.381224e+01	1.409706e+00	1.409706e+00
1.000000e-03	1.096478e-03	1.036624e+01	1.166293e+00	1.166293e+00
1.096478e-03	1.202264e-03	1.412135e+01	1.299976e+00	1.299976e+00
1.202264e-03	1.318257e-03	1.407927e+01	1.239611e+00	1.239611e+00
