# BEGIN PLOT
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 0
RatioPlot=1
LogX=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5
XLabel=$\theta_g$
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/log_theta_g_zcut_0.2_beta_0_alpha_0.5
ScaledBy=1.26596700889974804e-05
Title=Rivet-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-04	1.096478e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e-04	1.202264e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e-04	1.318257e-04	2.182833e+00	1.543496e+00	1.543496e+00
1.318257e-04	1.445440e-04	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e-04	1.584893e-04	1.815618e+00	1.283836e+00	1.283836e+00
1.584893e-04	1.737801e-04	8.279273e-01	8.279271e-01	8.279271e-01
1.737801e-04	1.905461e-04	7.550799e-01	7.550798e-01	7.550798e-01
1.905461e-04	2.089296e-04	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e-04	2.290868e-04	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e-04	2.511886e-04	1.145578e+00	8.100461e-01	8.100461e-01
2.511886e-04	2.754229e-04	1.044773e+00	7.387660e-01	7.387660e-01
2.754229e-04	3.019952e-04	9.528471e-01	6.737647e-01	6.737647e-01
3.019952e-04	3.311311e-04	8.690083e-01	6.144817e-01	6.144817e-01
3.311311e-04	3.630781e-04	1.188813e+00	6.863615e-01	6.863615e-01
3.630781e-04	3.981072e-04	1.807022e+00	8.081247e-01	8.081247e-01
3.981072e-04	4.365158e-04	1.648025e+00	7.370194e-01	7.370194e-01
4.365158e-04	4.786301e-04	2.104219e+00	7.953199e-01	7.953199e-01
4.786301e-04	5.248075e-04	2.741529e+00	8.669476e-01	8.669476e-01
5.248075e-04	5.754399e-04	1.750217e+00	6.615200e-01	6.615200e-01
5.754399e-04	6.309573e-04	2.052276e+00	6.840920e-01	6.840920e-01
6.309573e-04	6.918310e-04	1.455763e+00	5.502268e-01	5.502268e-01
6.918310e-04	7.585776e-04	2.276011e+00	6.570280e-01	6.570280e-01
7.585776e-04	8.317638e-04	3.113621e+00	7.338874e-01	7.338874e-01
8.317638e-04	9.120108e-04	3.312935e+00	7.229416e-01	7.229416e-01
9.120108e-04	1.000000e-03	4.172448e+00	7.748043e-01	7.748043e-01
1.000000e-03	1.096478e-03	2.361928e+00	5.567117e-01	5.567117e-01
1.096478e-03	1.202264e-03	4.188536e+00	7.079918e-01	7.079918e-01
1.202264e-03	1.318257e-03	5.347942e+00	7.639917e-01	7.639917e-01
