# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 1
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_1_alpha_0.5
ScaledBy=1.26596700889974804e-05
Title=Rivet-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.591321e+00	4.488384e-02	4.488384e-02
1.000000e-02	2.000000e-02	1.873631e+00	4.870272e-02	4.870272e-02
2.000000e-02	3.000000e-02	2.320518e+00	5.420054e-02	5.420054e-02
3.000000e-02	4.000000e-02	2.390146e+00	5.500769e-02	5.500769e-02
4.000000e-02	5.000000e-02	2.761074e+00	5.912215e-02	5.912215e-02
5.000000e-02	6.000000e-02	2.896533e+00	6.055506e-02	6.055506e-02
6.000000e-02	7.000000e-02	3.024395e+00	6.187718e-02	6.187718e-02
7.000000e-02	8.000000e-02	3.239610e+00	6.404092e-02	6.404092e-02
8.000000e-02	9.000000e-02	3.218088e+00	6.382784e-02	6.382784e-02
9.000000e-02	1.000000e-01	3.266195e+00	6.430315e-02	6.430315e-02
1.000000e-01	1.100000e-01	3.192769e+00	6.357625e-02	6.357625e-02
1.100000e-01	1.200000e-01	3.124407e+00	6.289194e-02	6.289194e-02
1.200000e-01	1.300000e-01	3.007938e+00	6.170859e-02	6.170859e-02
1.300000e-01	1.400000e-01	2.823106e+00	5.978261e-02	5.978261e-02
1.400000e-01	1.500000e-01	2.602828e+00	5.740292e-02	5.740292e-02
1.500000e-01	1.600000e-01	2.434455e+00	5.551521e-02	5.551521e-02
1.600000e-01	1.700000e-01	2.326847e+00	5.427441e-02	5.427441e-02
1.700000e-01	1.800000e-01	2.068590e+00	5.117389e-02	5.117389e-02
1.800000e-01	1.900000e-01	1.962249e+00	4.984117e-02	4.984117e-02
1.900000e-01	2.000000e-01	1.836918e+00	4.822321e-02	4.822321e-02
2.000000e-01	2.100000e-01	1.758428e+00	4.718169e-02	4.718169e-02
2.100000e-01	2.200000e-01	1.645757e+00	4.564509e-02	4.564509e-02
2.200000e-01	2.300000e-01	1.615374e+00	4.522179e-02	4.522179e-02
2.300000e-01	2.400000e-01	1.496373e+00	4.352423e-02	4.352423e-02
2.400000e-01	2.500000e-01	1.438139e+00	4.266891e-02	4.266891e-02
2.500000e-01	2.600000e-01	1.415351e+00	4.232952e-02	4.232952e-02
2.600000e-01	2.700000e-01	1.293818e+00	4.047136e-02	4.047136e-02
2.700000e-01	2.800000e-01	1.264701e+00	4.001337e-02	4.001337e-02
2.800000e-01	2.900000e-01	1.240648e+00	3.963104e-02	3.963104e-02
2.900000e-01	3.000000e-01	1.122913e+00	3.770371e-02	3.770371e-02
3.000000e-01	3.100000e-01	1.076072e+00	3.690897e-02	3.690897e-02
3.100000e-01	3.200000e-01	1.003912e+00	3.564995e-02	3.564995e-02
3.200000e-01	3.300000e-01	9.836564e-01	3.528848e-02	3.528848e-02
3.300000e-01	3.400000e-01	9.925181e-01	3.544707e-02	3.544707e-02
3.400000e-01	3.500000e-01	9.697307e-01	3.503779e-02	3.503779e-02
3.500000e-01	3.600000e-01	9.393475e-01	3.448453e-02	3.448453e-02
3.600000e-01	3.700000e-01	8.823790e-01	3.342249e-02	3.342249e-02
3.700000e-01	3.800000e-01	8.988366e-01	3.373273e-02	3.373273e-02
3.800000e-01	3.900000e-01	8.532618e-01	3.286641e-02	3.286641e-02
3.900000e-01	4.000000e-01	8.342723e-01	3.249863e-02	3.249863e-02
4.000000e-01	4.100000e-01	8.406021e-01	3.262170e-02	3.262170e-02
4.100000e-01	4.200000e-01	7.608462e-01	3.103556e-02	3.103556e-02
4.200000e-01	4.300000e-01	8.342723e-01	3.249863e-02	3.249863e-02
4.300000e-01	4.400000e-01	7.975592e-01	3.177553e-02	3.177553e-02
4.400000e-01	4.500000e-01	7.456546e-01	3.072416e-02	3.072416e-02
4.500000e-01	4.600000e-01	7.089415e-01	2.995825e-02	2.995825e-02
4.600000e-01	4.700000e-01	7.469205e-01	3.075023e-02	3.075023e-02
4.700000e-01	4.800000e-01	7.329949e-01	3.046223e-02	3.046223e-02
4.800000e-01	4.900000e-01	7.304630e-01	3.040957e-02	3.040957e-02
4.900000e-01	5.000000e-01	6.722285e-01	2.917223e-02	2.917223e-02
5.000000e-01	5.100000e-01	6.228558e-01	2.808051e-02	2.808051e-02
5.100000e-01	5.200000e-01	6.532390e-01	2.875724e-02	2.875724e-02
5.200000e-01	5.300000e-01	6.848882e-01	2.944564e-02	2.944564e-02
5.300000e-01	5.400000e-01	6.519730e-01	2.872936e-02	2.872936e-02
