# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as012285-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as015015-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 2 $z_{cut}$ = 0.05 $\beta$ = 2
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
LineColor=red
LineStyle=solid
NormalizeToIntegral=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/Rivet-as013650-parton.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_2_alpha_2
ScaledBy=1.26596700889974804e-05
Title=Rivet-as013650-parton
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	7.393247e-01	3.059347e-02	3.059347e-02
1.000000e-02	2.000000e-02	8.798471e-01	3.337450e-02	3.337450e-02
2.000000e-02	3.000000e-02	1.098859e+00	3.729772e-02	3.729772e-02
3.000000e-02	4.000000e-02	1.157094e+00	3.827327e-02	3.827327e-02
4.000000e-02	5.000000e-02	1.321670e+00	4.090465e-02	4.090465e-02
5.000000e-02	6.000000e-02	1.379904e+00	4.179609e-02	4.179609e-02
6.000000e-02	7.000000e-02	1.514097e+00	4.378123e-02	4.378123e-02
7.000000e-02	8.000000e-02	1.702726e+00	4.642837e-02	4.642837e-02
8.000000e-02	9.000000e-02	1.745769e+00	4.701154e-02	4.701154e-02
9.000000e-02	1.000000e-01	1.915408e+00	4.924269e-02	4.924269e-02
1.000000e-01	1.100000e-01	1.950855e+00	4.969626e-02	4.969626e-02
1.100000e-01	1.200000e-01	2.093909e+00	5.148611e-02	5.148611e-02
1.200000e-01	1.300000e-01	2.226836e+00	5.309521e-02	5.309521e-02
1.300000e-01	1.400000e-01	2.306592e+00	5.403766e-02	5.403766e-02
1.400000e-01	1.500000e-01	2.397742e+00	5.509503e-02	5.509503e-02
1.500000e-01	1.600000e-01	2.466104e+00	5.587491e-02	5.587491e-02
1.600000e-01	1.700000e-01	2.501551e+00	5.627505e-02	5.627505e-02
1.700000e-01	1.800000e-01	2.493955e+00	5.618955e-02	5.618955e-02
1.800000e-01	1.900000e-01	2.545860e+00	5.677124e-02	5.677124e-02
1.900000e-01	2.000000e-01	2.510413e+00	5.637464e-02	5.637464e-02
2.000000e-01	2.100000e-01	2.406603e+00	5.519674e-02	5.519674e-02
2.100000e-01	2.200000e-01	2.364826e+00	5.471556e-02	5.471556e-02
2.200000e-01	2.300000e-01	2.373688e+00	5.481798e-02	5.481798e-02
2.300000e-01	2.400000e-01	2.310390e+00	5.408213e-02	5.408213e-02
2.400000e-01	2.500000e-01	2.254687e+00	5.342621e-02	5.342621e-02
2.500000e-01	2.600000e-01	2.190123e+00	5.265570e-02	5.265570e-02
2.600000e-01	2.700000e-01	1.986302e+00	5.014572e-02	5.014572e-02
2.700000e-01	2.800000e-01	1.928068e+00	4.940516e-02	4.940516e-02
2.800000e-01	2.900000e-01	1.798939e+00	4.772209e-02	4.772209e-02
2.900000e-01	3.000000e-01	1.715385e+00	4.660065e-02	4.660065e-02
3.000000e-01	3.100000e-01	1.619172e+00	4.527492e-02	4.527492e-02
3.100000e-01	3.200000e-01	1.491309e+00	4.345052e-02	4.345052e-02
3.200000e-01	3.300000e-01	1.455862e+00	4.293103e-02	4.293103e-02
3.300000e-01	3.400000e-01	1.414085e+00	4.231058e-02	4.231058e-02
3.400000e-01	3.500000e-01	1.374840e+00	4.171932e-02	4.171932e-02
3.500000e-01	3.600000e-01	1.330531e+00	4.104155e-02	4.104155e-02
3.600000e-01	3.700000e-01	1.221658e+00	3.932657e-02	3.932657e-02
3.700000e-01	3.800000e-01	1.244446e+00	3.969165e-02	3.969165e-02
3.800000e-01	3.900000e-01	1.169754e+00	3.848206e-02	3.848206e-02
3.900000e-01	4.000000e-01	1.140636e+00	3.800011e-02	3.800011e-02
4.000000e-01	4.100000e-01	1.110253e+00	3.749059e-02	3.749059e-02
4.100000e-01	4.200000e-01	1.010242e+00	3.576217e-02	3.576217e-02
4.200000e-01	4.300000e-01	1.065944e+00	3.673486e-02	3.673486e-02
4.300000e-01	4.400000e-01	1.024167e+00	3.600780e-02	3.600780e-02
4.400000e-01	4.500000e-01	9.532732e-01	3.473920e-02	3.473920e-02
4.500000e-01	4.600000e-01	8.988366e-01	3.373273e-02	3.373273e-02
4.600000e-01	4.700000e-01	9.406135e-01	3.450777e-02	3.450777e-02
4.700000e-01	4.800000e-01	9.140282e-01	3.401661e-02	3.401661e-02
4.800000e-01	4.900000e-01	9.254219e-01	3.422797e-02	3.422797e-02
4.900000e-01	5.000000e-01	8.216126e-01	3.225111e-02	3.225111e-02
5.000000e-01	5.100000e-01	7.646441e-01	3.111293e-02	3.111293e-02
5.100000e-01	5.200000e-01	7.836336e-01	3.149689e-02	3.149689e-02
5.200000e-01	5.300000e-01	8.241445e-01	3.230077e-02	3.230077e-02
5.300000e-01	5.400000e-01	7.621121e-01	3.106137e-02	3.106137e-02
5.400000e-01	5.500000e-01	7.127394e-01	3.003839e-02	3.003839e-02
5.500000e-01	5.600000e-01	7.114735e-01	3.001170e-02	3.001170e-02
5.600000e-01	5.700000e-01	7.127394e-01	3.003839e-02	3.003839e-02
5.700000e-01	5.800000e-01	6.950159e-01	2.966256e-02	2.966256e-02
5.800000e-01	5.900000e-01	6.595688e-01	2.889624e-02	2.889624e-02
5.900000e-01	6.000000e-01	6.469091e-01	2.861758e-02	2.861758e-02
6.000000e-01	6.100000e-01	6.304516e-01	2.825121e-02	2.825121e-02
6.100000e-01	6.200000e-01	6.317175e-01	2.827956e-02	2.827956e-02
6.200000e-01	6.300000e-01	6.317175e-01	2.827956e-02	2.827956e-02
6.300000e-01	6.400000e-01	5.848768e-01	2.721093e-02	2.721093e-02
6.400000e-01	6.500000e-01	5.658873e-01	2.676555e-02	2.676555e-02
6.500000e-01	6.600000e-01	5.937385e-01	2.741630e-02	2.741630e-02
6.600000e-01	6.700000e-01	6.165259e-01	2.793746e-02	2.793746e-02
6.700000e-01	6.800000e-01	5.848768e-01	2.721093e-02	2.721093e-02
6.800000e-01	6.900000e-01	5.962705e-01	2.747469e-02	2.747469e-02
6.900000e-01	7.000000e-01	5.177805e-01	2.560260e-02	2.560260e-02
7.000000e-01	7.100000e-01	5.494297e-01	2.637347e-02	2.637347e-02
7.100000e-01	7.200000e-01	4.772696e-01	2.458063e-02	2.458063e-02
7.200000e-01	7.300000e-01	4.430885e-01	2.368407e-02	2.368407e-02
7.300000e-01	7.400000e-01	4.734717e-01	2.448264e-02	2.448264e-02
